NumBins,NumTrees,MaxDepth,MaxFeatures,Accuracy,Loss
128,32768,64,log2,0.766666667,0.233333333
128,32768,64,,0.686666667,0.313333333
128,32768,,sqrt,0.746666667,0.253333333
128,32768,,log2,0.766666667,0.233333333
128,32768,,,0.686666667,0.313333333
128,65536,2,sqrt,0.62,0.38
128,65536,2,log2,0.62,0.38
128,65536,2,,0.566666667,0.433333333
128,65536,4,sqrt,0.726666667,0.273333333
128,65536,4,log2,0.726666667,0.273333333
128,65536,4,,0.673333333,0.326666667
128,65536,8,sqrt,0.753333333,0.246666667
128,65536,8,log2,0.766666667,0.233333333
128,65536,8,,0.693333333,0.306666667
128,65536,16,sqrt,0.753333333,0.246666667
128,65536,16,log2,0.766666667,0.233333333
128,65536,16,,0.693333333,0.306666667
128,65536,32,sqrt,0.753333333,0.246666667
128,65536,32,log2,0.766666667,0.233333333
128,65536,32,,0.693333333,0.306666667
128,65536,64,sqrt,0.753333333,0.246666667
128,65536,64,log2,0.766666667,0.233333333
128,65536,64,,0.693333333,0.306666667
128,65536,,sqrt,0.753333333,0.246666667
128,65536,,log2,0.766666667,0.233333333
128,65536,,,0.693333333,0.306666667
256,64,2,sqrt,0.646666667,0.353333333
256,64,2,log2,0.633333333,0.366666667
256,64,2,,0.58,0.42
256,64,4,sqrt,0.72,0.28
256,64,4,log2,0.7,0.3
256,64,4,,0.713333333,0.286666667
256,64,8,sqrt,0.726666667,0.273333333
256,64,8,log2,0.72,0.28
256,64,8,,0.713333333,0.286666667
256,64,16,sqrt,0.733333333,0.266666667
256,64,16,log2,0.7,0.3
256,64,16,,0.713333333,0.286666667
256,64,32,sqrt,0.733333333,0.266666667
256,64,32,log2,0.7,0.3
256,64,32,,0.713333333,0.286666667
256,64,64,sqrt,0.733333333,0.266666667
256,64,64,log2,0.7,0.3
256,64,64,,0.713333333,0.286666667
256,64,,sqrt,0.733333333,0.266666667
256,64,,log2,0.7,0.3
256,64,,,0.713333333,0.286666667
256,128,2,sqrt,0.606666667,0.393333333
256,128,2,log2,0.586666667,0.413333333
256,128,2,,0.586666667,0.413333333
256,128,4,sqrt,0.713333333,0.286666667
256,128,4,log2,0.686666667,0.313333333
256,128,4,,0.726666667,0.273333333
256,128,8,sqrt,0.76,0.24
